node_id,region,cpu_cores,mem_gb,disk_gb,gpu_model,gpu_mem_gb,cost_per_hour,network_bandwidth_mbps
node_train_0000,beijing,64,1024,4000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0001,beijing,64,1024,2000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0002,guangzhou,256,256,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0003,beijing,64,256,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0004,guangzhou,256,256,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0005,guangzhou,256,1024,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0006,beijing,128,1024,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0007,beijing,256,512,4000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0008,beijing,64,512,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0009,shanghai,64,512,4000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0010,shanghai,64,1024,4000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0011,beijing,128,256,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0012,guangzhou,256,512,8000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0013,guangzhou,64,256,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0014,shanghai,64,256,2000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0015,shanghai,128,1024,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0016,shanghai,128,256,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0017,guangzhou,256,1024,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0018,guangzhou,64,1024,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0019,beijing,128,512,4000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0020,guangzhou,256,256,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0021,beijing,64,256,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0022,shanghai,64,256,8000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0023,shanghai,64,1024,4000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0024,guangzhou,128,256,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0025,beijing,256,1024,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0026,guangzhou,256,512,8000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0027,shanghai,64,256,8000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0028,beijing,64,256,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0029,beijing,256,512,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0030,shanghai,128,1024,4000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0031,shanghai,256,256,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0032,beijing,256,1024,4000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0033,shanghai,64,512,4000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0034,shanghai,64,1024,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0035,guangzhou,64,1024,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0036,shanghai,256,1024,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0037,beijing,128,256,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0038,beijing,256,512,4000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0039,beijing,128,512,2000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0040,beijing,256,256,2000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0041,shanghai,64,1024,2000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0042,guangzhou,128,1024,2000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0043,guangzhou,256,512,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0044,guangzhou,256,256,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0045,shanghai,256,1024,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0046,guangzhou,128,256,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0047,beijing,128,256,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0048,beijing,256,256,2000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0049,guangzhou,256,256,2000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0050,beijing,128,256,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0051,shanghai,256,512,2000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0052,beijing,256,1024,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0053,beijing,128,512,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0054,beijing,256,512,4000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0055,shanghai,128,1024,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0056,guangzhou,256,256,2000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0057,guangzhou,128,256,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0058,beijing,256,512,2000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0059,beijing,128,512,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0060,shanghai,256,256,2000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0061,guangzhou,64,256,2000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0062,shanghai,128,512,2000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0063,beijing,64,512,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0064,shanghai,128,512,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0065,guangzhou,256,1024,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0066,beijing,64,512,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0067,guangzhou,256,1024,2000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0068,shanghai,64,256,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0069,guangzhou,256,256,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0070,beijing,64,256,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0071,guangzhou,64,512,2000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0072,beijing,256,1024,2000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0073,beijing,128,1024,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0074,guangzhou,128,512,2000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0075,guangzhou,128,256,4000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0076,beijing,256,1024,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0077,shanghai,64,256,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0078,guangzhou,64,256,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0079,guangzhou,128,256,4000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0080,beijing,128,512,2000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0081,guangzhou,256,512,8000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0082,guangzhou,64,1024,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0083,guangzhou,64,256,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0084,beijing,256,1024,2000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0085,shanghai,256,256,8000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0086,beijing,256,1024,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0087,shanghai,128,256,2000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0088,shanghai,128,256,2000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0089,beijing,256,512,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0090,shanghai,256,1024,4000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0091,beijing,64,256,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0092,guangzhou,64,512,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0093,beijing,128,256,2000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0094,shanghai,64,512,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0095,beijing,256,256,4000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0096,shanghai,256,1024,2000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0097,beijing,64,512,2000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0098,guangzhou,128,512,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0099,beijing,128,256,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0100,shanghai,64,512,2000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0101,shanghai,128,512,2000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0102,beijing,256,256,4000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0103,shanghai,64,512,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0104,guangzhou,128,1024,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0105,beijing,64,512,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0106,shanghai,64,256,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0107,shanghai,256,512,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0108,guangzhou,64,512,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0109,shanghai,64,1024,4000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0110,guangzhou,256,1024,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0111,guangzhou,256,256,4000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0112,beijing,256,512,8000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0113,guangzhou,64,1024,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0114,shanghai,256,512,4000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0115,guangzhou,128,1024,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0116,shanghai,256,512,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0117,beijing,256,1024,4000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0118,guangzhou,64,512,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0119,shanghai,256,1024,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0120,shanghai,128,512,8000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0121,guangzhou,128,1024,2000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0122,beijing,128,1024,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0123,guangzhou,128,256,2000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0124,shanghai,64,256,2000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0125,beijing,64,512,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0126,shanghai,128,1024,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0127,guangzhou,256,512,4000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0128,beijing,64,1024,8000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0129,beijing,128,256,2000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0130,guangzhou,128,256,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0131,beijing,128,256,4000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0132,guangzhou,256,1024,4000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0133,guangzhou,256,1024,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0134,shanghai,64,1024,4000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0135,shanghai,64,1024,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0136,shanghai,256,256,4000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0137,beijing,256,512,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0138,shanghai,128,1024,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0139,beijing,64,512,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0140,guangzhou,64,256,4000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0141,shanghai,256,512,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0142,beijing,128,512,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0143,beijing,256,512,4000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0144,shanghai,128,512,4000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0145,guangzhou,256,1024,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0146,shanghai,64,512,4000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0147,beijing,128,512,8000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0148,shanghai,256,256,4000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0149,guangzhou,256,256,4000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0150,guangzhou,256,256,2000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0151,shanghai,64,512,2000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0152,shanghai,128,512,2000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0153,shanghai,128,512,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0154,shanghai,64,512,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0155,guangzhou,64,512,2000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0156,beijing,256,256,2000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0157,beijing,64,1024,2000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0158,beijing,128,1024,2000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0159,beijing,128,1024,4000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0160,beijing,256,1024,8000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0161,beijing,64,512,2000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0162,beijing,128,1024,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0163,shanghai,256,256,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0164,guangzhou,256,256,2000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0165,shanghai,256,1024,2000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0166,beijing,128,1024,4000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0167,shanghai,64,1024,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0168,beijing,128,512,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0169,shanghai,256,512,8000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0170,shanghai,64,1024,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0171,shanghai,256,1024,4000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0172,shanghai,256,1024,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0173,beijing,64,512,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0174,shanghai,256,1024,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0175,shanghai,64,512,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0176,shanghai,64,512,4000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0177,shanghai,256,1024,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0178,beijing,256,256,2000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0179,guangzhou,128,512,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0180,guangzhou,128,1024,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0181,shanghai,64,256,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0182,shanghai,256,256,4000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0183,guangzhou,128,512,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0184,shanghai,128,1024,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0185,shanghai,256,512,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0186,shanghai,64,256,8000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0187,shanghai,64,1024,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0188,beijing,64,256,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0189,shanghai,256,1024,8000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0190,shanghai,64,256,4000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0191,shanghai,64,512,2000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0192,guangzhou,64,512,2000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0193,guangzhou,128,1024,2000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0194,shanghai,64,256,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0195,shanghai,128,512,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0196,beijing,128,512,2000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0197,shanghai,128,256,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0198,guangzhou,64,256,2000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0199,shanghai,64,256,2000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0200,shanghai,256,1024,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0201,guangzhou,128,512,4000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0202,guangzhou,128,512,8000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0203,beijing,256,1024,2000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0204,guangzhou,64,512,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0205,beijing,64,256,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0206,beijing,64,512,4000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0207,guangzhou,128,512,2000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0208,shanghai,256,512,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0209,beijing,256,256,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0210,guangzhou,256,256,4000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0211,guangzhou,64,1024,2000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0212,beijing,64,256,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0213,guangzhou,256,1024,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0214,beijing,128,1024,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0215,shanghai,128,1024,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0216,shanghai,64,1024,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0217,guangzhou,128,1024,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0218,beijing,64,1024,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0219,beijing,256,512,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0220,beijing,128,1024,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0221,shanghai,64,1024,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0222,shanghai,64,512,4000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0223,shanghai,128,1024,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0224,shanghai,128,1024,4000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0225,guangzhou,128,1024,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0226,beijing,128,512,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0227,shanghai,256,256,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0228,shanghai,128,256,2000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0229,shanghai,256,512,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0230,beijing,64,512,8000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0231,shanghai,128,1024,4000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0232,beijing,256,1024,2000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0233,beijing,128,1024,2000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0234,shanghai,64,256,2000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0235,beijing,256,256,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0236,shanghai,256,1024,4000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0237,shanghai,128,256,4000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0238,beijing,128,256,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0239,guangzhou,64,256,4000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0240,shanghai,256,512,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0241,guangzhou,128,1024,8000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0242,shanghai,64,512,8000,NVIDIA RTX 4090-24GB,24,1.2,5000
node_train_0243,shanghai,128,1024,8000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0244,shanghai,128,256,8000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0245,guangzhou,128,256,4000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0246,shanghai,256,512,8000,NVIDIA A100-SXM4-80GB,80,3.5,20000
node_train_0247,shanghai,256,1024,2000,NVIDIA L40S-48GB,48,2.0,10000
node_train_0248,beijing,64,1024,8000,NVIDIA L40S-48GB,48,2.0,10000
